source_id,source_name,platform,disease_scope,instrument_module,domain,variable_name,question_text,response_type,answer_options,hpo_term,hpo_code,notes
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,GenomeConnect - Health Survey,how_do_you_identify_your_gender_sex,How do you identify your gender/sex?,single-select,Female | Male | Intersex | MTF/Transwoman/Transgender Female | FTM/Transman/Transgender Male | Unknown | Other,,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Genetic Testing,have_you_had_genetic_testing,Have you had genetic testing?,single-select,"Examples: Chromosome microarray (CMA single gene sequencing), single gene test, gene panel test, whole exome sequencing (WES), whole genome sequencing (WGS) | Yes | No | Unsure",,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Genetic Testing,what_type_s_of_genetic_testing_have_you_had_please_select_al,What type(s) of genetic testing have you had? Please select all that apply.,multi-select,"Chromosomes (Also called chromosome analysis, karyotype, karyotype analysis, or G-band karyotype) | Direct-to-consumer (DTC) genetic test (Genetic testing that is ordered by and returned directly to the person tested rather than through a doctor, also called DTC; please specify name of the company and/or test below) | Single gene or gene panel test (Testing of ONE or MULTIPLE genes with a single test; please specify the name of the test or condition being tested for below) | Microarray (Also called chromosomal microarray, CMA, cytogenomic array, array, or array CGH) | Exome sequencing (Testing that targets a person’s complete set of genes; also called whole exome sequencing or WES) | Genome sequencing (Testing of a person’s complete DNA sequence, including genes and regions between them; also called whole genome sequencing or WGS) | Unsure",,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Genetic Testing,what_was_the_reason_for_your_genetic_testing,What was the reason for your genetic testing?,single-select,I have had symptoms of a genetic condition. | The doctor/I wanted to confirm a diagnosis that was suspected based on my symptoms. | I have a family history of a genetic disorder and was showing symptoms of that disorder – wanted to confirm diagnosis. | I have a family history of a genetic disorder and was NOT showing symptoms of the disorder – wanted to assess my risk. I am healthy and wanted to be proactive about my health. | Unsure,,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Genetic Testing,do_you_have_a_copy_of_your_genetic_test_result_s,Do you have a copy of your genetic test result(s)?,single-select,"**Instructions for uploading a copy of your genetic test report(s) will be provided after you complete this survey. If you do not yet have a copy of your genetic test(s), you can contact the GenomeConnect coordinator to get help locating and submitting a copy of the report. | Yes (I have had testing and have a copy.) | No (I have had testing but do NOT have a copy.) | Unsure",,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Health & Development,have_you_been_told_that_there_were_issues_during_your_biolog,Have you been told that there were issues during your biological mother's PREGNANCY with you and/or your DELIVERY/BIRTH?,single-select,"Examples: Mother had to be put on bed rest, there were concerns on ultrasound, you were born early (prematurely), or you had to stay in the neonatal intensive care unit (NICU). | Yes – displays detailed question A | No | Unsure",,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Health & Development,have_you_had_issues_with_your_growth,Have you had issues with your GROWTH?,single-select,"Examples: You are much shorter or taller than expected for your family, you have had significant and/or lifelong problems gaining weight, or you have significant and/or lifelong problems with obesity. You may have seen an endocrinologist or other specialist for these issues. | Yes – displays detailed question B | No | Unsure",,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Health & Development,have_you_had_issues_with_your_hormones_and_or_endocrine_syst,Have you had issues with your HORMONES and/or ENDOCRINE SYSTEM (hormone-producing glands)?,single-select,"Examples: Diabetes, issues with estrogen or testosterone levels, or function of the thyroid, parathyroid, or adrenal glands. You may have seen an endocrinologist for these issues. | Yes – displays detailed question C | No | Unsure",,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Health & Development,have_you_ever_been_diagnosed_with_cancer,Have you ever been diagnosed with cancer?,single-select,"Examples: Breast cancer, prostate cancer, osteosarcoma, lymphoma, etc. You may have seen an oncologist for these issues. | Yes – displays detailed question D | No | Unsure",,,
GENOMECONNECT,GenomeConnect – Health Survey (Savatt et al. 2018 supplement),GenomeConnect,Disease-agnostic,Health Survey,Health & Development,have_you_had_issues_with_your_head_face_neck,Have you had issues with your HEAD/FACE/NECK?,single-select,"Please note that we are asking you about SIGNIFICANT issues with these areas, problems that you have seen a doctor for or had surgery for, or problems that you don't notice often in other people. The doctor may have used the term “dysmorphic” in describing some features of your face. | Examples: Cleft lip/palate, large or small head size, fused skull bones, sparse hair, etc. We will ask specifically about eyes and ears later. | Yes – displays detailed question E | No | Unsure",,,
